Date,Stock Name,Open,High,Low,Close,Adj Close,Volume,Predicted Price
01-01-2017,BTC-USD,963.65802,1003.080017,958.6989746,998.3250122,998.3250122,147775008,980.94
02-01-2017,ETH-USD,998.6170044,1031.390015,996.7020264,1021.75,1021.75,222184992,1012.11
03-01-2017,BNB-USD,1021.599976,1044.079956,1021.599976,1043.839966,1043.839966,185168000,1032.78
04-01-2017,SOL-USD,1044.400024,1159.420044,1044.400024,1154.72998,1154.72998,344945984,1100.74
05-01-2017,XRP-USD,1156.72998,1191.099976,910.4169922,1013.380005,1013.380005,510199008,1067.91
06-01-2017,ADA-USD,1014.23999,1046.810059,883.9439697,902.2009888,902.2009888,351876000,961.8
07-01-2017,DOGE-USD,903.4869995,908.585022,823.5560303,908.585022,908.585022,279550016,886.05
08-01-2017,BTC-USD,908.1749878,942.723999,887.2490234,911.1989746,911.1989746,158715008,912.34
09-01-2017,ETH-USD,913.2440186,913.6859741,879.8070068,902.8280029,902.8280029,141876992,902.39
10-01-2017,BNB-USD,902.4400024,914.8729858,901.0599976,907.6790161,907.6790161,115808000,906.51
11-01-2017,SOL-USD,908.1149902,919.447998,762.7650146,777.757019,777.757019,310928992,842.02
12-01-2017,XRP-USD,775.1779785,826.2459717,755.7559814,804.8339844,804.8339844,222326000,790.5
13-01-2017,ADA-USD,803.7369995,829.0009766,780.0029907,823.9840088,823.9840088,168968000,809.18
14-01-2017,DOGE-USD,825.1420288,835.085022,812.4559937,818.4119873,818.4119873,93063296,822.77
15-01-2017,BTC-USD,818.1420288,823.3070068,812.8709717,821.7979736,821.7979736,71013600,819.03
16-01-2017,BTC-USD,821.78302,834.5300293,820.2709961,831.5339966,831.5339966,82755200,827.03
17-01-2017,ETH-USD,830.9459839,910.5609741,830.7960205,907.9379883,907.9379883,155095008,870.06
18-01-2017,BNB-USD,909.3729858,917.4990234,858.3040161,886.617981,886.617981,225676992,892.95
19-01-2017,SOL-USD,888.335022,904.6140137,884.3380127,899.072998,899.072998,105625000,894.09
20-01-2017,XRP-USD,898.1719971,899.3980103,887.0079956,895.026001,895.026001,86728400,894.9
21-01-2017,ADA-USD,895.5490112,927.3670044,895.5349731,921.7890015,921.7890015,111158000,910.06
22-01-2017,DOGE-USD,922.2050171,937.5250244,897.5640259,924.6729736,924.6729736,116573000,920.49
23-01-2017,BTC-USD,925.4990234,928.2659912,916.7379761,921.0120239,921.0120239,73588600,922.88
24-01-2017,ETH-USD,910.677002,924.1450195,892.2860107,892.6870117,892.6870117,111349000,904.95
25-01-2017,BNB-USD,891.9240112,903.2520142,891.6870117,901.5419922,901.5419922,120831000,897.1
26-01-2017,SOL-USD,902.3950195,919.3259888,902.223999,917.5859985,917.5859985,131958000,910.38
27-01-2017,XRP-USD,918.3590088,923.2230225,915.8460083,919.75,919.75,125594000,919.29
28-01-2017,ADA-USD,919.8109741,923.9110107,919.8109741,921.5900269,921.5900269,68979600,921.28
29-01-2017,DOGE-USD,922.0670166,923.4180298,919.1480103,919.4959717,919.4959717,60851700,921.03
30-01-2017,BTC-USD,920.151001,923.0479736,919.473999,920.382019,920.382019,78227296,920.76
31-01-2017,BTC-USD,920.9589844,972.0189819,920.9589844,970.4030151,970.4030151,164582000,946.08
01-02-2017,ETH-USD,970.940979,989.1140137,970.7420044,989.0230103,989.0230103,150110000,979.96
02-02-2017,BNB-USD,990.0009766,1013.52002,983.2210083,1011.799988,1011.799988,145820992,999.64
03-02-2017,SOL-USD,1011.460022,1033.869995,1008.789978,1029.910034,1029.910034,201278000,1021.01
04-02-2017,XRP-USD,1031.329956,1045.900024,1015.159973,1042.900024,1042.900024,155064000,1033.82
05-02-2017,ADA-USD,1043.52002,1043.630005,1022.369995,1027.339966,1027.339966,114208000,1034.21
06-02-2017,DOGE-USD,1028.400024,1044.640015,1028.160034,1038.150024,1038.150024,111762000,1034.84
07-02-2017,BTC-USD,1040.140015,1061.930054,1040.140015,1061.349976,1061.349976,146007008,1050.89
08-02-2017,ETH-USD,1062.319946,1078.969971,1037.48999,1063.069946,1063.069946,201855008,1060.46
09-02-2017,BNB-USD,1064.699951,1088.98999,953.3439941,994.3829956,994.3829956,407220000,1025.35
10-02-2017,SOL-USD,995.632019,998.9050293,946.690979,988.6740112,988.6740112,190452000,982.48
11-02-2017,XRP-USD,988.8980103,1009.289978,982.8300171,1004.450012,1004.450012,102261000,996.37
12-02-2017,ADA-USD,1003.52002,1004.76001,996.9210205,999.1810303,999.1810303,67530000,1001.1
13-02-2017,DOGE-USD,998.8850098,1002.099976,976.0020142,990.6420288,990.6420288,100607000,991.91
14-02-2017,BTC-USD,991.7349854,1011.51001,986.4710083,1004.549988,1004.549988,137946000,998.57
15-02-2017,BTC-USD,1006.210022,1008.840027,1001.580017,1007.47998,1007.47998,89759400,1006.03
16-02-2017,ETH-USD,1007.650024,1033.369995,1007.650024,1027.439941,1027.439941,122277000,1019.03
17-02-2017,BNB-USD,1026.119995,1053.170044,1025.640015,1046.209961,1046.209961,136474000,1037.79
18-02-2017,SOL-USD,1049.209961,1061.099976,1046.959961,1054.420044,1054.420044,99073504,1052.92
19-02-2017,XRP-USD,1054.76001,1056.810059,1043.459961,1047.869995,1047.869995,77423296,1050.73
20-02-2017,ADA-USD,1048.689941,1080.48999,1041.689941,1079.97998,1079.97998,109478000,1062.71
21-02-2017,DOGE-USD,1079.280029,1117.25,1076.930054,1115.300049,1115.300049,186868992,1097.19
